tconst,averageRating,numVotes
tt0242653,6.7,544073
tt0242795,6.7,5359
tt0242888,6.5,9239
tt0242994,6.9,2505
tt0242998,4.9,30277
tt0243017,7.7,66968
tt0243133,7.5,115045
tt0243135,6.7,3949
tt0243155,6.8,264154
tt0243232,6.3,2404
tt0243255,6.4,12835
tt0243465,5.4,1338
tt0243493,7.0,18339
tt0243554,6.3,3223
tt0243575,5.6,2551
tt0243585,5.5,58594
tt0243595,6.1,2445
tt0243609,6.9,11651
tt0243655,6.5,60562
tt0243736,5.6,75842
tt0243759,6.9,3234
tt0243794,7.3,6979
tt0243862,7.0,13868
tt0243876,5.8,1751
tt0243889,7.7,4347
tt0243931,6.2,7488
tt0243991,4.6,1848
tt0244000,5.9,17537
tt0244092,6.8,1515
tt0244173,6.9,2399
tt0244244,6.5,196372
tt0244297,6.7,1548
tt0244316,8.1,28476
tt0244479,7.1,6105
tt0244504,7.0,1872
tt0244521,5.2,3254
tt0244528,5.3,2114
tt0244709,5.8,1078
tt0244870,6.1,9011
tt0244970,6.0,27467
tt0245027,7.5,4433
tt0245046,6.4,13192
tt0245090,6.7,3694
tt0245115,5.6,3065
tt0245120,5.3,9179
tt0245157,6.1,1688
tt0245171,6.4,4546
tt0245238,6.8,22356
tt0245276,6.9,1913
tt0245280,7.4,2366
tt0245356,3.6,1115
tt0245407,5.7,3958
tt0245429,8.6,850949
tt0245479,4.9,1605
tt0245501,7.0,1500
tt0245530,6.5,2006
tt0245562,6.1,73700
tt0245573,5.9,3359
tt0245574,7.7,128967
tt0245674,5.6,93930
tt0245686,6.0,61124
tt0245712,8.1,253101
tt0245803,5.5,52229
tt0245825,4.7,3617
tt0245837,7.1,1807
tt0245844,7.7,148606
tt0245866,3.4,1059
tt0245891,5.7,1356
tt0245910,7.4,3923
tt0245929,8.2,8625
tt0246002,5.5,2446
tt0246119,7.0,1253
tt0246134,6.2,2284
tt0246266,6.8,2909
tt0246404,6.4,3729
tt0246405,6.6,1522
tt0246460,6.1,229298
tt0246464,6.4,21665
tt0246498,6.3,2419
tt0246500,6.3,4980
tt0246544,4.7,15076
tt0246578,8.0,850865
tt0246592,6.6,6935
tt0246593,7.1,1079
tt0246628,6.7,3118
tt0246677,6.9,26496
tt0246692,6.7,9678
tt0246719,6.3,1074
tt0246765,7.2,2083
tt0246772,7.2,8572
tt0246875,6.7,1996
tt0246894,3.1,29702
tt0246989,5.3,19664
tt0247196,7.1,26394
tt0247199,7.1,41171
tt0247254,5.1,2151
tt0247303,4.7,5305
tt0247380,7.7,8821
tt0247419,5.0,1088
tt0247425,7.4,42450
tt0247427,4.9,1021
tt0247444,4.7,7107
tt0247586,7.9,57194
tt0247638,6.4,163906
tt0247745,7.0,113050
tt0247911,3.1,2752
tt0247944,5.0,1532
tt0247945,7.3,2556
tt0247992,5.1,3842
tt0248012,6.0,4487
tt0248036,7.3,1597
tt0248103,6.9,2763
tt0248126,7.4,55728
tt0248185,6.6,7634
tt0248190,6.0,4459
tt0248216,4.9,3045
tt0248408,6.7,20290
tt0248409,6.4,3547
tt0248617,4.2,3786
tt0248640,4.5,3539
tt0248661,5.8,1394
tt0248667,6.7,105617
tt0248845,7.7,37374
tt0248912,7.7,1966
tt0249110,6.5,1376
tt0249131,6.2,1190
tt0249241,8.0,16003
tt0249371,6.4,15237
tt0249380,4.4,18569
tt0249462,7.7,142975
tt0249478,5.6,28740
tt0249516,1.3,11903
tt0249893,6.6,1770
tt0250067,7.0,3922
tt0250081,6.8,18342
tt0250125,7.3,1677
tt0250202,6.4,4984
tt0250223,6.7,57910
tt0250224,6.4,25592
tt0250258,7.7,96143
tt0250274,6.3,5076
tt0250292,6.0,4541
tt0250310,4.7,13742
tt0250323,6.5,11995
tt0250347,5.7,3940
tt0250371,6.2,4726
tt0250415,5.1,4854
tt0250452,5.1,1297
tt0250468,5.4,19351
tt0250478,6.7,6323
tt0250483,5.8,2235
tt0250491,6.8,2306
tt0250494,6.5,248632
tt0250613,3.4,1846
tt0250617,5.7,2621
tt0250638,7.0,5165
tt0250687,6.5,123189
tt0250690,5.2,2122
tt0250698,4.8,2088
tt0250720,5.4,9736
tt0250797,6.7,98552
tt0250809,6.8,4281
tt0251031,6.5,6686
tt0251052,6.7,3858
tt0251075,6.1,136352
tt0251091,7.2,1026
tt0251094,4.6,1061
tt0251110,6.8,1809
tt0251114,6.3,55368
tt0251127,6.5,270529
tt0251141,7.1,1994
tt0251160,7.1,143801
tt0251174,4.4,1808
tt0251415,6.6,1528
tt0251433,6.7,5129
tt0251447,7.7,6409
tt0251661,6.6,1194
