tconst,region,primaryTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt7693316,AE,Devotion,2022,139,"Action,Biography,Drama",nm2300570,"nm3419858,nm3893742,nm5765902",6.6,27928
tt7694738,DE,Best F(r)iends Volume Two,2018,93,"Comedy,Drama,Mystery",nm4688751,nm0802995,5.0,1091
tt7698468,AU,A Call to Spy,2019,123,"Biography,Crime,Drama",nm0212990,nm2353338,6.7,9352
tt7700730,AE,October,2018,115,"Drama,Romance",nm1999473,"nm4962323,nm15621969,nm13419920",7.5,17908
tt7701808,AU,The Steam Engines of Oz,2018,79,"Adventure,Animation,Family",nm2846368,nm2846368,5.4,2931
tt7703924,AU,Infamous,2020,100,"Crime,Drama,Romance",nm2093933,nm2093933,4.3,3463
tt7705790,AU,Tholiprema,2018,137,Romance,nm4951006,"nm4951006,nm9568188",7.2,3514
tt7706168,AU,The Spy Who Fell to Earth,2019,94,"Documentary,Mystery",nm1207246,nm1207246,6.6,1184
tt7707314,AR,Lionheart,2018,95,Comedy,nm2105039,"nm4060714,nm6839368,nm2105039,nm5236429,nm5031712",5.7,1540
tt7710160,CA,Breaking Barbi,2019,90,Comedy,nm3304152,"nm3304152,nm1475801",2.5,1532
tt7711170,AE,Alone,2020,98,"Drama,Horror,Mystery",nm0404882,nm2093817,6.2,28621
tt7711342,GB,Agnathavasi - Prince in Exile,2018,158,"Action,Drama",nm1894520,"nm1894520,nm8325456",4.3,3555
tt7713068,GB,Birds of Prey,2020,109,"Action,Comedy,Crime",nm4014166,"nm5429637,nm0227704,nm0863622",6.1,264695
tt7714770,DE,Oleg,2019,108,Drama,nm3302367,"nm9550101,nm3302367,nm1213663",6.9,1028
tt7715070,AU,Horrible Histories: The Movie - Rotten Romans,2019,88,"Comedy,Family,History",nm0109273,"nm1026928,nm0683346,nm0147700,nm0726978,nm1471191,nm7328140",5.4,3245
tt7715202,AE,Sarkar,2018,163,"Action,Drama",nm1436693,"nm3328122,nm1436693,nm5801106",6.7,21799
tt7715270,AU,Adoration,2019,98,"Drama,Thriller",nm0239001,"nm0239001,nm1343281,nm0851759",6.3,1284
tt7715988,AU,Cake,2018,125,"Drama,Mystery,Romance",nm5089360,nm5089360,7.6,1207
tt7716120,CA,And Tomorrow the Entire World,2020,111,"Crime,Drama,Romance",nm2522719,"nm2522812,nm2522719",6.0,3624
tt7717440,GB,The Legend of Muay Thai: 9 Satra,2018,102,"Action,Adventure,Animation","nm9470145,nm9470141,nm9470142","nm9470142,nm1843333,nm9470143,nm9470144",7.3,1680
tt7718100,EC,Heist 88,2023,83,"Crime,Drama",nm0399630,nm0426461,5.3,1670
tt7718114,AE,FOMO: Fear of Missing Out,2019,93,Drama,nm4713570,"nm4713570,nm3744588",6.6,1365
tt7719976,AU,Omnipresence of Rhythm,2018,131,"Drama,Music",nm0579766,nm0579766,7.5,1353
tt7720142,AU,Assassin Club,2023,111,"Action,Thriller",nm0216214,nm1711449,4.7,2841
tt7720922,AE,Batti Gul Meter Chalu,2018,161,Drama,nm3109648,"nm8254778,nm3789785,nm5969139,nm6052646",5.9,6095
tt7721800,AE,Bharat,2019,150,"Action,Comedy,Drama",nm1804614,"nm1758539,nm4313283,nm1804614",4.7,32448
tt7721946,AU,Housefull 4,2019,145,"Action,Comedy,Drama",nm2260872,"nm8380633,nm7723547,nm1571874,nm2022237,nm1349318,nm7174796,nm0618898,nm8257911",3.5,14142
tt7722258,AE,Genius,2018,165,"Action,Thriller",nm0788858,"nm0788858,nm7733703,nm9993494",5.1,3575
tt7725384,AU,1982,2019,100,"Drama,History,Romance",nm0609619,"nm0609619,nm15702162",6.7,1177
tt7725596,AU,Badhaai Ho,2018,124,"Comedy,Drama",nm2279430,"nm10111893,nm4345616,nm6507373",7.9,38033
tt7725626,AE,Viswasam,2019,153,"Action,Drama",nm2350892,"nm2350892,nm9410880,nm8904193,nm11271081,nm10092405,nm10092404,nm13945146",6.5,10539
tt7730102,AU,Big Kill,2019,126,"Action,Drama,Western",nm1924767,nm1924767,5.4,1428
tt7730928,VN,Take Me to the Moon,2017,105,"Drama,Fantasy,Romance",nm3392796,"nm6116518,nm9423767",6.0,1368
tt7734218,AE,Stuber,2019,93,"Action,Comedy,Crime",nm0236226,nm2945690,6.2,51399
tt7735502,AU,The Invisible Witness,2018,102,"Drama,Thriller",nm0603299,"nm1079062,nm0603299,nm8683323",6.6,1799
tt7736478,CA,The Traitor,2019,153,"Biography,Crime,Drama",nm0069166,"nm0069166,nm0763460,nm2002638,nm1154102,nm2424390,nm2779187",7.1,12973
tt7736496,AU,Jingle Jangle: A Christmas Journey,2020,122,"Family,Fantasy,Musical",nm0847859,nm0847859,6.4,20738
tt7737528,AR,Kate,2021,106,"Action,Adventure,Crime",nm1031639,nm7073779,6.2,70482
tt7737640,AE,Breaking News in Yuba County,2021,96,"Comedy,Crime,Drama",nm0853238,nm3302028,5.8,7152
tt7737734,AU,The Other Lamb,2019,96,"Drama,Horror,Mystery",nm0844333,nm6033245,5.3,5546
tt7737786,AE,Greenland,2020,119,"Action,Thriller",nm0006846,nm2133655,6.4,134583
tt7738048,CA,Jo Pil-ho: The Dawning Rage,2019,127,"Action,Crime,Drama",nm2556572,nm2556572,6.4,2755
tt7738450,AE,Thunder Road,2018,92,"Comedy,Drama",nm3526993,nm3526993,7.0,19496
tt7738784,AE,Peranbu,2018,147,"Drama,Family",nm3591496,nm3591496,8.7,16643
tt7738930,GB,Beddua: The Curse,2018,90,Horror,nm2201450,nm2201450,6.0,1549
tt7740496,AE,Nightmare Alley,2021,150,"Crime,Drama,Thriller",nm0868219,"nm0868219,nm1965407,nm0340343",7.0,165336
tt7740510,AE,Antlers,2021,99,"Drama,Horror,Mystery",nm0178376,"nm5737776,nm4528537,nm0178376",5.9,44519
tt7743400,CZ,Jhalki,2019,104,Drama,"nm4827297,nm9140649","nm9140649,nm0422552,nm4827297,nm3872633",6.9,1441
tt7745068,AR,My Hero Academia: Two Heroes,2018,96,"Action,Adventure,Animation",nm2568279,"nm9484837,nm0475853,nm3619235",7.3,12490
tt7748226,AT,Rüzgar,2018,94,"Comedy,Romance",nm3213872,nm1870058,4.4,1698
tt7748244,CA,Mortal World,2018,107,"Action,Comedy,Crime",nm1778124,"nm1778124,nm1309752,nm3997174,nm2508411,nm5831457",7.6,31228
tt7748426,AT,Ailecek Saskiniz,2018,113,Comedy,nm3252853,nm3252853,6.1,8050
tt7748432,AR,Çocuklar Sana Emanet,2018,105,"Drama,Fantasy,Horror",nm1463981,nm1463981,4.8,1947
tt7749142,AT,Die Känguru-Chroniken,2020,92,Comedy,nm0506374,nm3086959,5.2,3367
tt7752126,AU,Brightburn,2019,90,"Drama,Horror,Mystery",nm0946521,"nm0348160,nm0348208",6.1,107814
tt7752454,GB,Detective Chinatown 2,2018,121,"Action,Comedy,Mystery",nm2268805,"nm2268805,nm6767400,nm9675602,nm9675603,nm8291251,nm9675604,nm10474065",6.1,3158
tt7752858,AU,Jamaica,2017,98,Comedy,nm1166475,nm1869778,7.2,1006
tt7754540,AU,Odavum Mudiyadhu Oliyavum Mudiyadhu,2023,120,"Comedy,Horror",nm1850771,"nm9489746,nm1850771",3.7,2353
tt7755856,AU,Banana Split,2018,88,Comedy,nm1848388,"nm2000954,nm4054205",6.2,3856
tt7757688,CA,Tall Tales,2019,112,"Drama,Romance,Thriller",nm1889381,nm2146818,6.9,1538
tt7758160,AU,Goodachari,2018,147,"Action,Thriller",nm3481620,"nm3414188,nm2493024,nm10022140,nm3481620",7.8,11957
tt7759320,AU,Okka Kshanam,2017,150,"Action,Romance,Sci-Fi",nm6489795,"nm6489795,nm8591658,nm2493024",6.9,1044
tt7759362,ES,Comrade Drakulich,2019,95,"Comedy,Fantasy,Horror",nm2724080,nm2724080,6.5,2891
tt7760890,CA,"I Was at Home, But...",2019,105,Drama,nm0770018,nm0770018,5.5,1200
tt7761590,BR,Retablo,2017,95,Drama,nm5461014,"nm5461014,nm1940598",7.5,1943
